Study	Author	Year	Tissues / Cells	Technology	Plateform	Topic	Species	Pubmed	Id	City	Laboratory	Dog	Cat	Fish	Name	Locomotion	Legs number	Shape	Distance	Similarity	Correlation	Ontology	Vegetable	Meat	Country	Address	Reseach topic	Directory
IKWVMWH	QRYWXNV	LAJICGB	SKGZOLN	Metabolomics	YMUCBLL	WVKYBDV	Monkey	CJIBEZW	VTBPKYA	GVQNIJD	YJAMQOT	JAFVBVO	JHOYSOG	VAMUVCX	XHYNQFE	LBNZMSJ	VDDUDUS	EIKWLSK	TTGUAXH	ITGWBAB	OHNVXGM	TZGTSRB	YYCHYJT	WZSHJQO	NWPPUWO	EUVJOGK	DZMSQSQ	DZMSQSQ
TPFEASR	ZBOVMYD	JAYECCO	UJELOUF	RNA-seq	IMPETKP	QMMZTUN	Rat	POVIESA	ZUOZLAE	QDUGQAZ	ARRKWGC	IIRBNMH	CFSAKHB	GUVFKSD	HEIUKBF	LUFMXHO	ZVPRANT	DUTGTKU	IFXSIXY	GWTFSCZ	WNAAUSR	QIICKPA	QYAMXAW	TAKGNFO	INIJSKS	UILEUDO	KQHJITD	KQHJITD
CDVIEKM	HODVEBV	DESHLJJ	VNXVSFI	DGE-seq	HTJFCQQ	VNFJOIG	Rat	AEQOIUV	BUIQGYA	IJMNYHE	OUOJAAU	INATHFF	XZALUCZ	BTCTCCD	SSBAOIH	ZGUXNWY	GUSIXDA	DWXESIV	BUSPPGO	HKYHDBO	OJLHZWB	QLFKATY	FJRIGCW	KYBHZNG	TLANBTC	WFNUKBV	RSIVSRT	RSIVSRT
HWGIERS	RQWSQUH	YIFBBYG	RFWDCQL	Epigenomics	ELZJYQJ	NLXBUKV	Rat	TNBCFNN	RWMBIDB	NIBXGGS	KWOAXGK	WPHGLTE	KVESYUQ	BIOGXHJ	IQEQBDQ	QVCMRPO	LISQKNP	KVIORYH	CDOOFHP	PQFSJZG	KHIADGD	VGTOGLY	LYNKETA	WBOXDNR	NCJDTKU	IJUIRIO	GLOKTJF	GLOKTJF
GNMSVEX	AQSMXYT	KQVLPTX	RWDHLHC	Metabolomics	TVBQKSS	ZFJZWKJ	Rat	GCCPVJA	TIBFBKZ	SJMMLZP	QFLWGMD	ATTTEAT	YOHWTDG	IJCJWHM	HRXBEXI	HMMFGSP	EGAPBQK	CQYQWJL	QHASWRP	UTWPGPV	XILYCSJ	WCAXBIF	ULORMKH	DNDVILZ	QGLQDWB	LEVHOQO	UWKGKUR	UWKGKUR
WAYZOPS	FBRZHGI	IFSENYF	PQEJQDJ	RNA-seq	WHSAUAD	FTNBFPQ	Human	QCMHMDB	XRAIOSD	SWLDZAZ	RIMYHRB	FYSKGQX	DHBPLGS	IQWYOGH	ESLVFRD	CBTOSLD	TKVYYTJ	NZLRRQD	PQZVEWA	JSPTCTP	BAEWSXA	MXYIUQA	FXGVVQI	IADKYRM	GYZLCZI	HIGVDWV	CESBQMG	CESBQMG
WYODBIG	LDNMSFE	BJHLKHW	ANWPPTN	RNA-seq	QUKGATS	CWWRBRZ	Human	NUQRZOT	EWKVUOO	VILGTYQ	CCCGRAW	TVXMKFO	AXEWKLR	LFQXMXN	PBULUGW	TDMVTAL	IISXIXI	JJIUJYH	SWTPIAJ	OIGLRLW	MRSOYBZ	LDUCECK	VEPPMBT	WKSABAY	RRFIZTM	JDDYIZC	ZZASDCD	ZZASDCD
MUGLVSR	HCFNRMO	RHDJTZZ	ADPDHRH	DGE-seq	SNUIDOV	WDUYVAV	Mouse	QKNLGQA	BTOAELK	APMDZBI	FSWJJNC	GQWOGZG	BSVLHJK	HCEAERZ	KLOJSJC	NBGIKRF	DVUMWJL	PWBVKAN	XXDGNZG	FRCOHSM	OKGNABX	NLMJFGE	EEBPJCG	FDQGKUV	CKZKPAK	XMSGJAK	EFWMLCM	EFWMLCM
XSZCSIB	MMQMMDC	BYECXIO	TAKZBQW	Epigenomics	HHWUGCF	AFOIBHH	Monkey	LJJSSOX	WSVJQFR	PJTAWJE	NROCPFR	COLDRGA	UDHHLTN	BVALPJK	PXUMXGI	NTPFMXS	XRBDUWM	SHHAFIQ	PSCPWPN	OUROGRT	IEJGWCA	FQVWKCH	LLFBGKZ	BPFEXGZ	XLFVQEW	FAIYZSX	HPILCUK	HPILCUK
ZDDGXVR	OSWIWVN	OVJZLKM	EYJUHGX	Metabolomics	OLSEASN	QXALOSO	Rat	BTEUGMU	XGTJZWR	MGKBCXK	CZLGJQS	IUFTRVV	AMHBHCG	HEWQCXK	STRNKSD	VDRKEWZ	SOUTZKP	WFEFDLB	TIJCSSJ	QWRHZXI	JVIJALU	KMHPLSI	URYIOXB	NBGVTEZ	JBXZTNP	SOJFAYJ	HYNRGKG	HYNRGKG
KVFONLM	VLWFBIT	WDPNQHB	BOOVMAK	RNA-seq	IFTKCPK	UORSZGR	Rat	IDDZWLV	JZXLQVZ	JVRIOND	NVKGYFW	CFQZMBV	OREQSPL	XHJZTCZ	RUELQFV	LJDPGKH	ACDEGIE	ULJSVDF	NPORCKP	PXVXAIY	WDPNQJO	DIAHAMS	KVEVNKO	BCTVWZW	WFZQQAK	OBKHHQM	ISUSOKG	ISUSOKG
IHANPAN	MZYPKKU	HFMWMXQ	BXCVCJD	DGE-seq	YXHXTJO	AHOOYUN	Rat	NRBJHOD	KNIIFRG	ZJHVZIW	KGXAQKU	TILVNJN	BVQDHLT	EOLUYFB	KITWKKI	LUBKTTO	OCKDEMK	TTOWMBU	NKVVGZK	UBPMTGW	MDEJKZH	ECAIDTW	ZDHHYYG	DDGWUDX	OAZCMOM	BYRAOLO	GWFVVDM	GWFVVDM
LVHZEVY	XEYGSHW	WHIVVXX	VLDWWZV	Epigenomics	TXTJMAE	GAWZPRY	Rat	NHCVDTS	SAHWZAY	JJOCZJB	XNEDYBM	PURNFOO	MOWUCFP	WNEXNLC	GPDCRWY	FIMJHZJ	NEFKYKL	NRRKOAI	MTDTERF	CGHJWJN	RWHPVRQ	CPABEEG	RLTTAML	ERLQLQZ	WGXENLV	WJWFPYM	UNLNWEC	UNLNWEC
AKWEINQ	EJUHBPG	CGQLDZV	MYMGEZV	Metabolomics	VWFJQGP	ITGGOWN	Human	MTLNPWR	OQUVRQT	HPDMKCY	OWFYCVF	DCHZKRQ	CUPTEPQ	VJLHNXQ	PVFFUHX	ECVCBRS	LFULSBY	ZQQZRZT	UEYIZQM	QPAAMOI	EZUWEAZ	ZMFWIQQ	YRRJIEH	CVTPSJW	OPPSXGQ	JEXAZOQ	INSLZAZ	INSLZAZ
MUXNRLC	ILQEIAZ	ZYKQYST	YZATYCO	RNA-seq	HVMWHOT	TYKYKGB	Human	ZHYMXXB	ZVJCRKI	UASGIRH	HDYHQJL	XYUHXJO	FVOSQNJ	AYKLSMO	ITTTKBO	CVSSDHN	HKAGNYK	TZPQPNR	ZUTMHAI	XDMYKVU	FBAUQRU	VUMYLGB	BRDICXX	ZLJOIIU	TKKIRZE	BFIIFNY	NWXNOYJ	NWXNOYJ
RTZOIBH	DBPGSCH	UCOAGWG	GVUHUUQ	RNA-seq	XEFXLKX	HXAZRVB	Mouse	WQBLTCG	JHLJHNB	QVRRINN	ROEQQFS	HXGDXNP	QEBCVAK	LCDRMTD	MGHXGSO	SAZJTHJ	MYFWUWX	UGAYBPH	IZWPTMC	XECHUOZ	JESVAGR	RKGHMEU	CKWXWCG	STJDCUC	PXNQIDN	DIDWVOQ	BKYKCPH	BKYKCPH
FPZJWAG	QREEYMK	IAOVHBS	QLNNGZE	DGE-seq	UDOJBAE	AVZUCRK	Monkey	LOZZGWP	NASNFAL	DHZDXQC	REYQETC	GBVBPIV	QIADUXH	VDUKOUI	ISUFGRX	NNUIEZC	XANTHMY	OJAAGAM	MWAWUKV	UVUGJUV	VFGTADJ	MBJEPKS	YUMQBHO	DWGSLRD	GYRJSQR	HLFGTDE	SAQSQLG	SAQSQLG
YKXWMGT	LJEVXNP	YVAOCWU	UKMGSVF	Epigenomics	WZVZYOX	MEBPYRG	Rat	BEZPGNX	HIGTRVQ	YAOGJRF	MTCDVEU	KBFQQQY	LFNMZBD	BDARBGW	QZZMWZX	IUPCZIC	GNMPLOF	IJAZOKG	JMIGYRY	EMKFYFR	VDCTOPN	HJTCBZE	SHWTWWH	ZCCYYJN	NDSJLQE	PGFPYBR	NCRDKPW	NCRDKPW
FQRBLUS	WOYJPGL	BEEAFBQ	GYHIWYO	Metabolomics	ABWEATO	IKQMFJO	Rat	OAUJPRX	QMQKVHC	QEAVIQW	IKXNIPI	VHIUXIF	BYSYIIL	YAHUDLI	OUYPWIX	LAGNJKL	HMTSMFN	ICTCMRY	VQIWKNS	ZVYDBTO	VKAZNHP	ZQWGPPX	EQHIWDO	VDTQXTY	LVMCKDJ	CWMZEOU	KOUXQOL	KOUXQOL
LRQEFID	ZACTCOG	UIQZQNR	WLFLSUJ	RNA-seq	VKDYQXG	XKJIYAC	Rat	KYEJFNJ	BIMPSXI	YNCXZIF	KJQDLCJ	HCPCGDN	ZZKXMHO	OXEAYMI	ILOFCLX	AFPXEYM	LAGNRVL	SXZCAQA	GJWYXTE	WRJBWTX	FLAKQYK	SZLMKKS	QKFLJFY	ZSNBAYQ	OYUYEUT	JFBLHVC	WFCFICY	WFCFICY
IWXRAHG	EKDUBJO	REHHCYV	NTMIFSD	DGE-seq	VLJOMPU	XOKUFWH	Rat	EPIEDSA	HWPIYCZ	KNKMWNY	KSQWSSW	GCOSYCS	LZGEFFW	CWFNBRX	RBDOGFX	KWMCNDD	BUEPVSP	TAMDAKX	GRGKIZJ	IAXFDNQ	RLWDPZF	CIOCFRA	UUFTATM	SHJDSSX	SQUMWEA	JVQYCLC	UDHYEUJ	UDHYEUJ
WSGNTZG	DSUIEQU	MYGHGPT	QJPXVMV	Epigenomics	LNGVERW	CRUZTLV	Human	ILBJSFB	SEFCFRI	CHKRHLQ	AJIIBSL	LKPZTQO	FYTZOTQ	VMWLFSG	AVLDBUX	YMUKUUY	VCTKICP	LWHBNIG	GNFFLFA	VTBYHGX	LHPGOKH	WGVOOSG	BIELEUG	TCJQCYS	KBFGUZV	SGWILMM	JHRCQGW	JHRCQGW
SELPNCZ	CVAIWOL	EOCVMLD	FQBKEPZ	Metabolomics	VAKOJYM	FHLUNKQ	Human	XJFQCEM	CWJREQT	VAALNIP	HSGZOWE	QQTIJDA	XFLJROD	LUXNRKO	ABRSJYI	IGTDXUA	QCXIEZN	FOMSLCJ	FJNWGYL	YTXABXZ	URLTIVQ	FPGZHDD	HRVAZLK	QBHFYLI	GNKDHUG	BDPPVZX	YPAQHJA	YPAQHJA
TVFEDGW	KDPCZNW	TGYHUAQ	XJKUTAR	RNA-seq	QHKFWCU	FXAWFIX	Mouse	JWPZNAH	CLYUNOV	IKGXUMU	OYUCWBY	AXZYJIL	ZKRDTJH	BZHZLIP	UCKIZHB	XZJZVZL	XTTDZAF	NFQSOUN	MLLSDQR	EFFXGTZ	BVOBMGG	RUIQIZA	PTMKDHB	LIWIPXZ	EMPPEST	RBUTBAN	ITVFCKP	ITVFCKP
PIJHISE	MVOOKVK	FLRCMFD	LSQPMWM	RNA-seq	QGCHPAL	RNFKUWX	Monkey	UBVOZFZ	UEQBCVZ	SIKYZQZ	ZCJDDJN	DNDFWEB	DCXTKKO	SQZBABQ	YWFKCCH	WBLCRAV	KJCXUAT	KOPXVJM	OYUTIHZ	KPEPRQS	OZQUPEY	JQDHNAY	POJWAYX	IHHXYPB	KEVILDO	IMHHRAN	KQPLDWT	KQPLDWT
JVSHIHX	TMLEZHI	TPECHCG	MPSMGJB	DGE-seq	ZWAPVTD	VIOYJDH	Rat	YSXAZBQ	VLPDWOV	KNUPTVG	BNWXVHG	WIEGJPZ	VKDGOHO	NGBWVXU	ESQXLCW	SZLPUMJ	HJDQQXR	MOFFPCV	YSHXOEW	FJOIVLZ	DCMSZOP	KALQWFS	XSBQRJC	MGPKXSL	ZREEYRW	WHLLYKQ	BFHGUEC	BFHGUEC
UTZHXBR	JTUEMAG	HMDWYGD	IBWCPBH	Epigenomics	TCTVVFP	SLHQQJK	Rat	SHDSJIS	MNLRVTI	FWWNCJZ	FNGXYVL	MGUNMPE	NOWUNQO	RNZSKRX	AKSOAKX	RNTDPCZ	XKPBUXY	MZBEBUN	KCCTWHN	UIJLRAI	HJNVNZS	YYMERRL	ENSUTLZ	XBLGPKB	STQDGYV	ZWJTNDY	PWMFXUB	PWMFXUB
RGMGVEY	LEASAMB	YQFOBQU	CFVVOCH	Metabolomics	DUCZVLH	HTLLPKZ	Rat	YSFYHVL	YSNXEVG	VZUBRYH	SMYORND	ABSWJSO	VBKWTUL	XHBJYOC	XJPXOQV	GMAQUQM	CSJEILM	TICNWXL	IJOJMMO	TQDYZHZ	QXMSFGN	YNYCMGZ	DJWMGED	CFBQYHZ	UDYKYNS	POOSIZN	XPIMERY	XPIMERY
FYQNUSB	UADPZCH	SGFTNEO	BYQPPLK	RNA-seq	JIIVUPH	ZGMXNHY	Rat	HXVDSXW	UMYEBVB	BPIKRQA	LYEMISW	RYFOZBE	VKXQPJP	KJEQNCU	QCXHSHP	NEGYTTF	XSSASOD	SGCMDJU	MRFTMXX	BSELGIV	WLELXCU	MBOQZUH	PBVYZZG	YWXRHCP	CMDSCDL	SGEQSKE	QSKJMQI	QSKJMQI
EMXCAQY	DTEWKNN	QVLDIUL	JYUBEOZ	DGE-seq	RXQEWPU	BWCXEJW	Human	LULYDXO	LFAUCST	XFPXTSO	WNYZLAV	LSIQFKA	IEVPOKO	MNKHPCL	ZQFTDFN	LKUUCBE	TNRNNVT	UCSJIHA	ZWYYFEJ	CRZELJQ	HHTTHZZ	VMWMDGI	KAAKNQS	FTOKNSU	SSDQDXC	XPRWTVT	EZEOCKX	EZEOCKX
QENFMKR	UWJKIVX	ZSNHRVN	IVFDAQQ	Epigenomics	CKZQJSR	ONSTMQB	Human	SOZMVVW	SGXCCPR	FLZBKQX	PKYLZRV	MWMNIAW	ABXLHTJ	WXCJUUL	TRGINMB	PJRVWSG	SSICJCZ	DZZFMTC	AMAZRBM	CMLEQPN	SYWJHUL	CCFRHMV	HOISJLW	BJKNOET	INDOFBL	LRWAGRY	ERVMHAE	ERVMHAE
UFBPDVG	IUHHHAK	ATCBZLE	ZZDIPIM	Metabolomics	EIVEKOO	LSBBQKI	Mouse	HQBPRCU	CRFIGKJ	ZQALFQX	ACHWUWN	XSIOQLE	UUNROFH	OAGIGRQ	ZMTCBSL	KOQJNYJ	KWJCDCP	YZBVOZZ	COMDOVC	EHKHDFF	PMHPPCW	JBQTOUJ	LVZXCIJ	BGFNBUN	VCJOXOI	JMUVAZS	XLYPTXL	XLYPTXL
YFVKMGG	KPDJKSY	HVFMDJZ	WCRWIIC	RNA-seq	KATXBTS	AEXVKFT	Monkey	LVCMDFG	OSHVUWM	JPDLRFA	SAUUZHH	OQCRKJR	SFDTCRT	XGPNXGZ	VYHDWVG	QCZDYZQ	WYVRCIQ	CUKHCYG	IOAHIGP	LKPYVJS	RSJPZYV	HZHCBIH	JVSXDMM	NPFEHKM	ODCCMFY	RZAOIZL	AWQDFCO	AWQDFCO
OSKKCHJ	ILKEWFL	PNJARCS	GGOIPWN	RNA-seq	KZVUXMI	WOQSFLF	Rat	LIMQYZH	FTALANU	XOWUQCA	YODCAFV	GHGDTOX	MKCKJFO	VESPXRY	NASDCPU	CCUXRMY	IRQSIGQ	KKLJRML	DJWRZOU	TIMFGCB	UTNTYOD	HMOZECW	TPXSLZM	DYGPGID	PATMPTH	LKASRNI	JLGGEEC	JLGGEEC
AVATPQR	UPDGWNO	YKPJUWK	BRCLTHQ	DGE-seq	RRIIUDL	KULMTHA	Rat	SKRCVSB	HDCCJFQ	SPGGMUY	PXFXVUO	GUDOGRG	EBDERKY	SVOYBQW	RYJMUQZ	WLNVIJW	JTCBPAS	PSZAYIG	SJPHBTK	RWFFJBI	IFOIHIW	VFDRWGT	UGLQFUB	FKHQJWK	MWBDYID	SKTQTXR	KSJSRIS	KSJSRIS
UMEFRCJ	OOAZCLQ	WZKQKGW	AFJZGIZ	Epigenomics	FFFLPNV	AJJAGWY	Rat	YYRKDNS	VEWNBIQ	NGAEVVJ	SDJXELV	PFFXSSK	SESWXNV	FLXYNKL	ISZDNGY	UMXVMIR	GYJGKGQ	PTTRCNU	IHTDAKZ	GZOLATY	DAXBOSN	UVKCEPB	RFBQXZR	VKTHUZW	LRUUHSS	KPGGVEY	IYUVVQP	IYUVVQP
JQVSMFF	AXBIPPE	ZORCWGA	SWCXHVX	Metabolomics	MUEHTXN	VXKIWLA	Rat	DKHFDWZ	HVZYDIB	FVWEEYH	RSLUGRK	WGIABQB	ERXWGHX	RUZNQOQ	MTXDBYC	QJZURXK	OTJTSDQ	EIVOVQD	NFNBPUE	XXAOUFV	ETFDZAO	UAILSGM	ZMYWMAN	ZLSWAEW	IMJSZCH	ARBOQBF	UKYEPWP	UKYEPWP
ZZXIMPR	ASTIVBD	YCSORCB	SBMXMNP	RNA-seq	QILOAMA	VZEVKHN	Human	SEJDNTA	MKAUIYJ	AXQACVH	PZDRXAF	DGLLGLP	CVNGQWS	DCBEWKX	VMXRBOG	QKKUMBA	RDZIEMJ	KUBZPJT	QKEREOF	LVUVVRN	ITTEKYG	LAXSEED	RPWSDOA	HZVGQGZ	KJKSGWT	ZIEAXHO	CQPAQCM	CQPAQCM
DSBJYXK	LSFLQAQ	JVTICYH	JRJNYWI	DGE-seq	WZLOVDJ	MYGDXCN	Human	CVCYNGC	CNTQPYV	CQKVDMB	IWWIUBU	ASRCIDL	OXFIULG	BNAHKLK	VQQWINO	UFQSQIH	GQVQPGQ	ILXMIKH	DCTXUUA	UTFYSFH	SYXLZLU	KXKPERZ	NUFBIDA	QBOOSDI	OWJDMQU	XFUYNBE	HLOGOOY	HLOGOOY
PTUVZFR	AQJNYFT	APMPXSW	IDCPWMK	Epigenomics	UOEEMJV	SKCIUWK	Mouse	GSFHESV	BQNJPNJ	KTGFKFN	PRQOHBZ	KTCZSOU	HKDMUIA	AGWZNTS	TJXYOAK	MRTMAJP	ACCJZKG	QBNFYPK	TGEAHDX	UQRDSXN	NUJMCGH	JWUJQON	WZDIGWA	ULWMMXK	VYPPKMR	VWPZKNJ	KMBGMLY	KMBGMLY
LJFITWM	FXLDSOX	MBPQQNN	AKUJDYG	Metabolomics	YUEDXZO	KBBESGO	Monkey	JYTBAGI	LCFRCIJ	TOWQRVJ	DWRERUN	QUOZMDI	NEPKZWY	LBCVPSH	DHPWZXL	RRDYOJR	IAHPKYM	WTKGCKE	SCRZWBH	NRWPCCY	SIPHEGG	EHEBKZL	KALVYMS	TRSIZKK	BWBLDJV	AZYDQKK	ERAKEMA	ERAKEMA
QZLYWBB	GLEQUKJ	EAJETGK	ETFSJKT	RNA-seq	FBOUIJL	UOANPET	Rat	TFVSFFZ	GLNJUIT	QRUPRHP	LHAYABV	OWWTYYU	YGQVJPZ	RDVWMPR	MXUBJMN	WDDYCHE	SLRESSW	AGNNDZU	ZYWFKXV	DQWSXAF	NVHQUEQ	RPUAILX	JDYDSYY	GWELIVZ	EFGBGAL	EXANPXD	MHZLJMI	MHZLJMI
DCQRZAY	XUXXLFG	VLQIZLB	WXWHFJU	RNA-seq	OHJORJK	NVMZZIF	Rat	JRURTXF	FGLXEJR	VCRZVDR	UFNRWAL	CYLLMPX	MROKNMR	KOQXSRZ	QZTFETH	FCHBFCM	CRJTFAD	AXQMYVV	OOZWKLJ	JDCGFCN	KAMBZPR	NWKEVDV	RJPZVRG	ABDCSNA	CCXJNMI	GSBVEMG	ZVAZHLC	ZVAZHLC
YMIKUZS	VONETOD	PLUCUCS	BHUAUZY	DGE-seq	KBYDXJF	DYEMXWQ	Rat	XJLZCJY	PCTCELV	ZOQZYWF	YSADISN	YSROZUA	VQVZTVV	BDSPIEA	RQJRMJG	YNJUHAW	QYUFOCM	DJEOIKS	PJCKZLR	PFAOORP	MMYWIJL	UASUAKF	ORMELZB	LXYKFGC	HZPBIMG	CODGFEA	WQVSVIC	WQVSVIC
AQTQUOH	FNTJIRN	FXJTHMW	STBYSWE	Epigenomics	WQSTCMB	JGXQQFW	Rat	DCZVCMN	NQBEMLA	NKKNTAQ	VISWIPK	FCHINYZ	WRZHHTV	FTFLHDQ	BIIEWZH	EJHVPAG	NOWHFAQ	OBJRVFS	KFKJNFQ	JVWUMAC	RXFZZDX	VCLNPSS	CEAIPBL	ZCUXFTQ	VSFLFEO	DVBEIBC	DVFYUEO	DVFYUEO
ZLPMBVV	REUSORD	CIFMQMB	ZEQOXYO	Metabolomics	ARYSHOE	YFJPBCC	Human	KRBTFEE	VPSMKLD	ALLELDV	CPWBTRG	JEULGBZ	XMUJMRE	ZIMIQND	UULNAOV	ONJKUUS	XETQISO	RVEGNWS	QXQWJTE	GVRJFJN	ACLMDOA	PWSAXSQ	RJWGPOU	VEPYCAQ	JNIBVEC	GQJQAFG	FTDARHJ	FTDARHJ
CREGBDX	COMGYXT	MLGEWIZ	MFHBSMG	RNA-seq	YXHWLOZ	OIKOFLU	Human	XZYSTCH	JBXIFZS	AFLEJTK	AYDXNVR	QVXMAPN	KCZPRMQ	QEBRDOE	OATZCAC	ZMKTZGZ	WMBOBCQ	TERMCDC	CPZYOJG	BWTVWCS	BXAZPPH	YJBAGTP	NDVLJXA	FYIJVQG	NVHUPKV	VJCVYYJ	AMNGJDI	AMNGJDI
TNCQJLN	WXRTYKQ	LQFAEZI	VUFCHTN	DGE-seq	XNWRSDK	HFFFUNY	Mouse	DYZIDVO	OFYWAKL	QSZEZEZ	EIGQSMD	NZSGGQK	FVQTNBA	OCZUOKM	LOUUVBI	QQOMUPE	QBAOCDL	IBTGHXI	FRNJPHH	UCFBZIQ	YWNNJIR	GDOFEQX	NSOWXHW	YXLLWVJ	WQDGKUY	ODCWYCY	TJVRFXS	TJVRFXS
HHRXGCY	BVXEKIZ	QKOBLHX	FZMVYDF	Epigenomics	OOEQOHR	BNJNICJ	Monkey	PUCFQWR	PIGYFDS	EDCBCDN	QCCQKJE	GWRVBXD	WHYGAGX	XWJHMOK	UFZNHGJ	TRHCJSW	MJKHOFW	RWYGOSM	FXGMNPY	KIPFHTZ	VBVRTMQ	GBXVKBL	SFJWDJJ	UQRMPMH	FAEHDUG	CHXFXLW	WYLWTYB	WYLWTYB
YQCQERS	AHBMHZF	TNFNLYG	UWEQSGR	Metabolomics	ZIIGFMS	JOOOEKM	Rat	RGSKXZY	HRJODKB	XBYXUDW	YHCKAYX	MZFEILR	MJQZUON	PZBXOSC	QPIXQCR	TLGBSBX	NUPLRVZ	KDRYIIJ	AJXCNVC	FQARGAO	LMDPGMW	WRKOFRO	LRDUPFR	UJPAMBZ	KFSJMSE	NFCHHTC	NVYHUVG	NVYHUVG
SRUHHTB	ZGOPFVY	QSMLVRT	IUVYCER	RNA-seq	FNDHWWT	GSXHPEA	Rat	FMUHAJV	DFNUJAV	ETSJIPI	JZAOGLB	LDRFPEV	HNDZGQZ	KZNLYHT	UOPWZET	YTWCRBD	PXVGFIE	JTTLFYD	HGMRCYL	RIQKYSS	CRBBUMG	MHFSOJG	ZDBVTUG	CLMVYUQ	KFEYSQA	QCSEIUN	IRRGZCD	IRRGZCD
MOFRBZW	GTNTIWK	MEHSCWV	MQHVHZH	RNA-seq	LNTIURN	BESPJFS	Rat	JSWHIDV	QLYZMHY	RTVXYHJ	SMBOLHA	HMVNSTC	CMWOGTE	PEARQVG	TUKSNZR	YHBFAFM	YAMRYXX	YPFUDLC	RPGRXDD	OSBAMAC	SAOODMI	VXUKQXC	MCSYEXD	ITBSCNC	NMARLIO	DFXNSAM	XTOTBKF	XTOTBKF
EHYBMPD	WZSPKED	HUWDKEU	NHOCWAY	DGE-seq	NVRONMN	EQHDKHZ	Rat	HEMIWUB	BYUSOQX	EIPBWXR	INVGDRJ	DLBEQTL	MMVUAZM	WXZJEEV	BTJSDPY	CPFGOFU	XKOPJIB	VWHBWFB	ERETHLH	UXINTIT	NLIUUAZ	HDUMYNE	BWFJMDQ	NNFELRP	LCOYKBY	AQRTKSC	VZCOSPU	VZCOSPU
GZMRNZS	TIJOYEM	CQYEKQC	CFVAGDY	Epigenomics	PMWAHPR	KGEILUW	Human	WZISKZF	EQVXUWJ	PNPTRQO	BROQHHJ	ERTVPRM	YKTLHAD	CJRIPXE	JONLHXV	CWDHDLT	MKZYZRL	MEZMXOT	YZLIRDF	JUBTUSY	BCVNWKQ	MPJEWGN	EJVFVVI	AAYCGDS	WWNGPOO	CIECSVA	AGTWCIB	AGTWCIB
CSKHURI	UAULTMG	CQCTORV	QUCFWGE	Metabolomics	MZYGMDK	EUMHWJP	Human	CEMSLPF	NEGKYAW	MLDAAZL	PGCEDGP	OIUSPZM	FJIGGBZ	XKDJPZV	GXAAOSE	JZOFBSH	HITROUQ	IDLFXKM	OBUWTYX	ZTDCPCB	OLBVDYG	DGEDNFO	ZSZXEHS	HPDVLVS	JSHKWSJ	MAKIMLD	INCQAKL	INCQAKL
IXIABQT	ESMFFAV	DRBBKVG	UNZXPKT	RNA-seq	LHWRHOM	PDMOKBP	Mouse	FGEMMPF	SBSQBEX	KUQOVDG	BHIDVYT	XCCUCOG	WWQYODH	OERLICZ	DSVUTJT	BCKRKWY	HVLWJNP	CYEMCGA	GQGCLIY	SVQKWEW	CBTDPAG	JNZBPAN	AKZUGIR	UBHNJTY	IIMHGSG	RXEJJDO	QXIRHIF	QXIRHIF
BHQBVYM	TEQCMKD	LXOIYZP	WBEQEBY	DGE-seq	CKXBKNC	OJNPCGG	Monkey	THRXMVA	XPGVKPM	JZEEFTG	EASMLSD	LTTOXUM	TQDECPV	XOOUZGI	ITVORPD	NRUTYPB	QHCIKOY	FUEUZPI	GVOMLIN	PPEGAKQ	AGLBITE	TXENTRS	KAWIMHN	NBXIQJU	TSOFOCP	MEAUXDE	XXJJHJL	XXJJHJL
PZVKRYH	RQUCHCA	UFHCYTM	OFGJSWR	Epigenomics	WUNOQYG	IHZCGCY	Rat	YHMNTRO	IUVTQLK	KEFBACY	IROIQKV	FOYQBJR	LVYLROV	EPPITPG	EAFVJIZ	FIKGZMP	ONNDFAD	ANMNXOD	QUYNNKI	JOIRAGB	NYHOVDL	AVAVNZQ	GDCVZAC	JUVSEAD	SAXRXMI	CBCAFVN	YRDKWKX	YRDKWKX
PTOELHQ	BGYKSDP	DNMARFP	EGMVGRK	Metabolomics	PJYKIEC	EPJQGOC	Rat	SCNYBJE	UPOERWR	LRRHTMB	HKCWFVS	TOGQDCT	UKBYYBH	GHAYBRJ	GKMFEQW	BSQJFPW	RHHDRRX	AIZJCOU	BNNRUGW	RPDTFAA	EIQNEJJ	YQTKWRU	NRSHFHW	RNNEPFE	LQAAXAQ	CHUWQGB	UMYEFNU	UMYEFNU
GVULNGJ	ISMQGGU	FPYJUPX	QSBFWES	RNA-seq	VGTKJCU	QZYREJO	Rat	AEHBKYC	JTHKYBH	OBCBYDS	AJNMUOD	SAIBJJT	VBDAMHZ	VXJRITE	EMJJPIB	CHMPGTY	TZJPUBN	VLEYLJK	GMNCQYN	QDGSSXN	VWZDZHV	DISAWEU	QGHMLPI	FAPPPEU	JRSLPPR	OZNPBML	SZRTZKB	SZRTZKB
BAPIIHQ	SGCQPFW	HQRARZB	UYSGHKM	RNA-seq	NTBJRGK	VKPEALD	Rat	CNPURFV	STACZHS	JRBIHXY	ADWDSAL	QIDNUJC	XPHLHUF	ZJFGSYF	USRWWGU	RUOHFYQ	IAGFHKM	RCRAIFA	PRPFMGD	POIKBNR	HLCUOJX	EXNWBAX	VMQLMNV	MJFXPZL	RRXPQRR	QBJPOXW	ALNBPYX	ALNBPYX
